path,column_count,has_food_id,has_participant_id,long_format_nutrient_schema,matched_keyword_groups,matched_columns,likely_ahei_lookup,header_error
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/cgm.csv,5,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/iglu.csv,46,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/iglu_daily.csv,41,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/metadata/cgm__time_series_bulk_dictionary.csv,22,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/metadata/cgm_data_dictionary.csv,21,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/cgm/timeseries/cgm__10k__1000942861__20211214.csv,1,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/diet_logging.csv,11,False,True,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/diet_logging_events.csv,21,True,True,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/metadata/diet_logging__diet_logging_events_bulk_dictionary.csv,17,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/metadata/diet_logging__raw_diet_logging_events_bulk_dictionary.csv,17,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/metadata/diet_logging_data_dictionary.csv,21,False,False,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/population.csv,6,False,True,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/diet_logging/raw_diet_logging_events.csv,20,True,True,False,,,False,
/Users/blizzardxu/Desktop/HPP/Data/Transfer/gut_microbiome/gut_microbiome.csv,44,False,False,False,,,False,
